id,treatment,task,answer,captcha,attention,age,gender,essay_seconds,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
717,Control,NonSocial,Hobbit,1,TikTok,30,Male,14.975,The book 'The Hobbit',5,4,6,C,0.6,7,7,7,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,2,3
718,Control,Social,Friend,1,TikTok,67,Male,36.881,Their best friend,4,6,7,C,0.9,4,6,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,4,4
719,Control,Social,Friend,1,TikTok,55,Male,47.563,Their best friend,5,5,4,C,0.5,5,6,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,5
720,Full,Social,Sister,1,TikTok,39,Male,36.043,Their sister,5,2,2,C,0.2,3,4,3,5,5,They copied it word-for-word from ChatGPT,Yes,2,No,1,2
721,Tool,NonSocial,Hobbit,1,TikTok,36,Male,63.643,The book 'The Hobbit',4,6,5,C,0.5,4,4,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
722,Full,Social,Father,1,TikTok,27,Female,89.593,Their father,4,4,3,C,0.4,2,3,3,1,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
723,Control,NonSocial,Hobbit,1,TikTok,33,Female,62.751,The book 'The Hobbit',4,4,5,C,0.4,4,5,5,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,3
724,Full,NonSocial,Hobbit,1,TikTok,48,Female,69.599,The book 'The Hobbit',4,5,4,C,0.5,3,5,5,6,5,They copied it word-for-word from ChatGPT,No,2,No,1,5
725,Control,Social,Friend,1,TikTok,60,Female,59.983,Their best friend,6,6,5,B,1,6,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",No,1,No,1,2
726,Tool,NonSocial,Hobbit,1,TikTok,19,Male,49.817,The book 'The Hobbit',5,5,6,B,1,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
727,Tool,NonSocial,Hobbit,1,TikTok,27,Female,1143.77,The book 'The Hobbit',5,4,4,B,0.72,6,3,4,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,5,4
728,Control,Social,Friend,1,TikTok,35,Female,62.815,Their best friend,6,7,6,B,1,7,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
729,Full,NonSocial,Buffy,1,TikTok,21,Female,34.313,The TV show 'Buffy the Vampire Slayer',7,4,4,D,0,1,1,4,6,2,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,4
730,Control,NonSocial,Titanic,1,TikTok,23,Male,87.429,The film 'Titanic',6,5,7,B,0.95,7,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
731,Tool,NonSocial,Titanic,1,TikTok,77,Male,122.628,The film 'Titanic',4,3,3,C,0.4,4,3,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,Yes,2,4
732,Control,NonSocial,Hobbit,1,TikTok,46,Male,92.432,The book 'The Hobbit',6,6,4,B,0.81,6,4,5,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,2,5
733,Control,NonSocial,Hobbit,1,TikTok,61,Male,148.283,The book 'The Hobbit',6,6,6,A,0.85,7,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,5
734,Full,NonSocial,Buffy,1,TikTok,52,Male,114.714,The TV show 'Buffy the Vampire Slayer',6,2,1,D,0.3,2,4,3,7,2,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
735,Full,Social,Friend,1,TikTok,38,Female,180.775,Their best friend,6,6,6,A,1,3,3,3,6,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,4
736,Control,Social,Father,1,TikTok,30,Male,74.474,Their father,6,7,7,A,1,6,7,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,5
737,Full,Social,Sister,1,TikTok,70,Male,121.958,Their sister,6,6,1,E,0.05,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,1,No,1,1
738,Tool,Social,Father,1,TikTok,27,Female,62.071,Their father,4,7,6,C,1,5,7,5,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,5
739,Control,NonSocial,Buffy,1,Other,36,Female,362.258,The TV show 'Buffy the Vampire Slayer',5,6,7,A,0.8,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,4
740,Tool,Social,Friend,1,TikTok,52,Male,50.535,Their best friend,7,6,6,B,0.1,6,6,5,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,No,1,4
741,Tool,NonSocial,Buffy,1,TikTok,54,Female,129.356,The TV show 'Buffy the Vampire Slayer',7,6,4,A,1,7,7,7,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,Yes,2,5
742,Full,NonSocial,Titanic,1,TikTok,43,Male,64.118,The film 'Titanic',6,5,5,C,0.3,4,4,3,5,6,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
743,Full,NonSocial,Buffy,1,TikTok,53,Female,102.974,The TV show 'Buffy the Vampire Slayer',5,2,2,E,0,4,3,2,6,2,They copied it word-for-word from ChatGPT,Yes,3,No,1,4
744,Full,Social,Friend,1,TikTok,25,Female,36.57,Their best friend,7,1,1,D,0.2,4,3,3,6,5,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,3
745,Full,NonSocial,Titanic,0.8999999761581421,TikTok,36,Male,68.666,The film 'Titanic',6,2,2,D,0.2,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,5
746,Tool,NonSocial,Titanic,1,TikTok,42,Female,45.652,The film 'Titanic',5,6,6,B,0.5,4,5,4,3,4,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,3
747,Tool,Social,Friend,1,TikTok,37,Female,439.06,Their best friend,6,7,6,B,0.52,6,5,5,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,5
748,Control,Social,Father,1,TikTok,36,Male,45.351,Their father,6,6,6,B,0.81,7,6,5,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,3
749,Control,Social,Sister,1,TikTok,49,Female,64.385,Their sister,6,6,6,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,Yes,2,2
750,Control,NonSocial,Hobbit,1,TikTok,45,Female,97.301,The book 'The Hobbit',5,5,5,B,0.71,6,5,4,5,5,"They wrote it themselves, without any help from ChatGPT",No,4,No,1,4
751,Full,NonSocial,Hobbit,1,TikTok,32,Male,88.356,The book 'The Hobbit',6,4,3,E,0,3,4,3,6,3,They copied it word-for-word from ChatGPT,Yes,4,No,1,5
752,Control,NonSocial,Titanic,1,TikTok,33,Female,83.747,The film 'Titanic',6,6,7,B,0.92,7,6,4,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,3
753,Control,NonSocial,Titanic,1,TikTok,57,Male,70.013,The film 'Titanic',7,7,7,B,1,7,4,3,6,6,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,6
754,Control,NonSocial,Hobbit,1,TikTok,73,Male,147.651,The book 'The Hobbit',6,7,7,B,1,7,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,3,Yes,2,5
755,Tool,Social,Friend,1,TikTok,38,Female,77.801,Their best friend,6,7,7,B,0.9,6,7,6,1,6,NA,Yes,5,Yes,3,5
756,Control,Social,Sister,1,TikTok,37,Male,126.499,Their sister,6,7,6,B,0.8,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,5
757,Full,NonSocial,Hobbit,1,TikTok,45,Female,55.814,The book 'The Hobbit',5,5,4,D,0.73,6,4,4,4,4,They copied it word-for-word from ChatGPT,Yes,7,No,1,3
758,Control,Social,Sister,1,TikTok,58,Female,98.759,Their sister,7,7,7,A,1,7,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,4,7
759,Full,Social,Friend,1,TikTok,25,Female,109.465,Their best friend,7,7,5,B,0.7,2,4,2,7,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
760,Control,NonSocial,Hobbit,1,TikTok,70,Male,103.27,The book 'The Hobbit',4,3,4,C,0.5,7,5,3,4,6,"They wrote it themselves, without any help from ChatGPT",Yes,3,Yes,2,5
761,Control,NonSocial,Buffy,1,TikTok,27,Female,19.149,The TV show 'Buffy the Vampire Slayer',4,5,6,C,1,5,5,5,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,3,4
762,Tool,NonSocial,Titanic,0.8999999761581421,Twitter,36,Male,33.27,The film 'Titanic',4,4,4,B,0.7,4,6,5,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,7
763,Tool,Social,Father,1,TikTok,41,Female,113.615,Their father,6,6,4,B,1,6,6,6,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,4
764,Control,NonSocial,Titanic,1,TikTok,42,Female,55.165,The film 'Titanic',7,7,7,C,0.4,7,6,6,1,7,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,4,7
765,Full,Social,Friend,1,TikTok,27,Female,343.981,Their best friend,3,1,2,D,0.29,3,2,1,5,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,2
766,Full,NonSocial,Titanic,1,Twitter,31,Male,99.362,The film 'Titanic',7,7,5,A,1,2,5,2,1,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,6
767,Full,Social,Sister,1,TikTok,62,Female,102.431,Their sister,5,1,1,E,0.1,2,2,2,7,2,They copied it word-for-word from ChatGPT,Yes,3,No,1,3
768,Control,NonSocial,Titanic,1,TikTok,26,Female,163.49,The film 'Titanic',7,7,3,A,0.81,6,6,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,3
769,Full,Social,Sister,1,TikTok,29,Female,86.753,Their sister,5,6,7,C,0.6,5,5,5,7,3,They copied it word-for-word from ChatGPT,No,6,Yes,4,4
770,Tool,NonSocial,Titanic,1,TikTok,20,Male,27.869,The film 'Titanic',6,4,2,B,0.7,6,5,4,6,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,6
771,Tool,Social,Friend,1,TikTok,50,Female,33.326,Their best friend,7,7,7,A,1,7,7,7,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,5
772,Full,NonSocial,Buffy,1,TikTok,66,Male,66.748,The TV show 'Buffy the Vampire Slayer',6,6,6,D,0.29,2,3,1,1,2,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
773,Control,NonSocial,Buffy,1,TikTok,25,Female,45.352,The TV show 'Buffy the Vampire Slayer',7,7,6,B,1,7,6,6,1,1,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
774,Full,NonSocial,Hobbit,0.699999988079071,TikTok,30,Female,13.823,The book 'The Hobbit',6,6,6,B,0.29,5,4,5,2,3,They copied it word-for-word from ChatGPT,No,6,Yes,3,5
775,Full,Social,Father,1,TikTok,59,Female,60.367,Their father,7,6,6,D,0.18,4,4,3,2,3,They copied it word-for-word from ChatGPT,Yes,1,No,1,2
776,Full,NonSocial,Titanic,1,TikTok,39,Female,174.924,The film 'Titanic',7,7,5,C,0.4,3,4,4,7,6,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,6
777,Full,Social,Father,1,TikTok,34,Male,24.5,Their father,4,5,5,B,0.1,6,6,7,7,7,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,6
778,Full,NonSocial,Titanic,1,TikTok,33,Male,12.429,The film 'Titanic',6,6,5,B,0.8,5,4,4,4,6,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,4
779,Control,Social,Sister,1,TikTok,41,Female,87.018,Their sister,6,7,6,B,0.85,6,6,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,4,5
780,Tool,Social,Sister,1,TikTok,39,Female,39.988,Their sister,4,5,4,C,0.5,2,6,5,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,4
781,Tool,NonSocial,Buffy,1,TikTok,44,Male,129.585,The TV show 'Buffy the Vampire Slayer',6,7,6,B,0.71,2,5,4,7,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
782,Control,NonSocial,Titanic,1,TikTok,56,Male,105.145,The film 'Titanic',7,5,5,B,0.9,6,5,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,No,1,3
783,Control,NonSocial,Hobbit,1,TikTok,31,Female,34.022,The book 'The Hobbit',6,7,7,B,1,7,7,6,6,6,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,1
784,Tool,Social,Sister,1,TikTok,39,Female,34.171,Their sister,6,7,6,C,0.5,4,7,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,4
785,Control,NonSocial,Titanic,0.8999999761581421,TikTok,40,Female,30.588,The film 'Titanic',6,5,1,B,0.6,5,2,2,4,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,3
786,Full,Social,Sister,1,TikTok,41,Male,42.6,Their sister,3,3,2,D,0.25,5,5,5,6,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
787,Full,Social,Father,1,TikTok,28,Male,10.76,Their father,5,5,5,B,0.41,5,5,4,3,4,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,5
788,Control,NonSocial,Hobbit,1,TikTok,34,Female,57.186,The book 'The Hobbit',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,No,1,4
789,Full,Social,Sister,1,TikTok,27,Female,75.869,Their sister,5,5,2,C,0.3,3,3,4,5,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,5
790,Tool,NonSocial,Titanic,1,TikTok,40,Female,126.437,The film 'Titanic',5,6,4,B,0.85,5,5,4,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,3
791,Full,Social,Father,0.800000011920929,TikTok,34,Female,36.334,Their father,6,6,2,C,0.4,2,6,5,7,6,They copied it word-for-word from ChatGPT,No,7,Yes,5,6
792,Control,NonSocial,Buffy,1,TikTok,37,Male,19.669,The TV show 'Buffy the Vampire Slayer',4,5,3,C,0.81,6,2,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
793,Control,Social,Friend,1,TikTok,39,Female,84.396,Their best friend,3,4,5,D,1,3,6,5,3,4,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,3
794,Tool,Social,Sister,1,TikTok,53,Female,52.975,Their sister,7,6,6,A,1,6,6,6,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,4
795,Full,Social,Father,1,TikTok,35,Male,37.951,Their father,3,2,4,D,0.25,3,4,1,6,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,4,3
796,Control,NonSocial,Hobbit,1,TikTok,33,Female,54.187,The book 'The Hobbit',5,5,5,B,0.8,6,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,4
797,Tool,NonSocial,Hobbit,1,TikTok,29,Female,49.074,The book 'The Hobbit',5,4,4,C,0.6,4,3,4,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
798,Tool,Social,Sister,1,TikTok,39,Male,22.979,Their sister,6,6,6,B,0.8,5,4,5,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
799,Tool,NonSocial,Buffy,1,TikTok,27,Female,29.344,The TV show 'Buffy the Vampire Slayer',7,6,6,B,0,4,5,5,5,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
800,Tool,NonSocial,Hobbit,1,TikTok,64,Male,66.79,The book 'The Hobbit',7,6,6,B,0.85,6,7,4,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
